Nome	Identificação	Catmat	Quantidade	Estoque ideal	Posição	Categoria	Descrição
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 500K	140	0	45	50	2	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 500K
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 1M	141	0	42	50	2	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 1M
REGULADOR DE TENSÃO – 7805	142	0	141	100	2	Consumo	REGULADOR DE TENSÃO – 7805
REGULADOR DE TENSÃO – 7809	143	0	593	100	2	Consumo	REGULADOR DE TENSÃO – 7809
REGULADOR DE TENSÃO – 7812	144	0	165	100	2	Consumo	REGULADOR DE TENSÃO – 7812
REGULADOR DE TENSÃO – 7815	145	0	91	100	2	Consumo	REGULADOR DE TENSÃO – 7815
REGULADOR DE TENSÃO – 7905	146	0	97	100	2	Consumo	REGULADOR DE TENSÃO – 7905
REGULADOR DE TENSÃO – 7909	147	0	100	100	2	Consumo	REGULADOR DE TENSÃO – 7909
REGULADOR DE TENSÃO – 7912	148	0	96	100	2	Consumo	REGULADOR DE TENSÃO – 7912
REGULADOR DE TENSÃO – LM1117	149	0	0	100	2	Consumo	REGULADOR DE TENSÃO – LM1117
REGULADOR DE TENSÃO – LM317	150	0	180	100	2	Consumo	REGULADOR DE TENSÃO – LM317
REGULADOR DE TENSÃO – LM337	151	0	99	100	2	Consumo	REGULADOR DE TENSÃO – LM337
RESISTOR DE CARBONO - 1/2W – 100K?	152	0	1801	500	2	Consumo	RESISTOR DE CARBONO - 1/2W – 100K?
RESISTOR DE CARBONO - 1/2W – 100?	153	0	1795	500	2	Consumo	RESISTOR DE CARBONO - 1/2W – 100?
RESISTOR DE CARBONO - 1/2W – 10K?	154	0	1815	500	2	Consumo	RESISTOR DE CARBONO - 1/2W – 10K?
RESISTOR DE CARBONO - 1/2W – 150?	155	0	1975	500	2	Consumo	RESISTOR DE CARBONO - 1/2W – 150?
